Dataset,Horizon,Model,Type,n_folds,MSE,RMSE,MAE,MAPE,Directional_Accuracy,Strategy_Return_Pct,inference_time,Sharpe_Ratio,Max_Drawdown,Calmar_Ratio
BTC_Monthly,1,chronos,foundation,36,92443827.81337847,6985.132405598958,6985.132405598958,10.96567472696645,52.77777777777778,-0.17368737557235236,0.07860444651709662,-0.037581750233995494,70.8666348585159,-0.23173481310391578
BTC_Monthly,1,timesfm,foundation,36,405842944.7383048,17760.592339409723,17760.592339409723,33.258511748517286,36.111111111111114,-5.7068153951001115,0.05469720231162177,-1.3242994526067848,90.43376203381887,-0.6434425411363697
BTC_Monthly,1,gemma4_local,llm_local,36,85011898.24264118,7248.164746093749,7248.164746093749,12.103384926308282,50.0,0.47407026766345517,0.6263665358225504,0.10261741953049604,42.30990644151247,-0.21190403481699585
BTC_Monthly,1,qwen3_local,llm_local,36,94805693.61803345,7724.377254774306,7724.377254774306,12.293654457925463,47.22222222222222,3.2872023487005304,1.2839669187863667,0.7355556741079144,30.430689369236596,0.998713685946811
BTC_Monthly,3,naive,naive,34,164160299.40966883,10498.237234617041,9411.298694087007,14.38514386157633,0.0,0.0,0.00021623863893396715,0.0,0.0,0.0
BTC_Monthly,3,arima,classical,34,203538677.67622697,11513.061041847886,10194.258133201867,15.56063276382747,26.470588235294116,1.9428424424209003,0.03817546367645264,0.5090410763219346,32.149645652048804,0.4762137450974941
BTC_Monthly,3,ses,classical,34,164126123.30602756,10496.416824811255,9411.712020879218,14.385738861287827,52.94117647058823,-1.1653071617780413,0.001022191608653349,-0.24991706911969475,78.81151926077125,-0.3429569017388226
BTC_Monthly,3,holt,classical,34,180294548.1689617,11273.841002531517,10118.442156686015,16.578371100284972,50.0,0.25847624924344814,0.001359729205860811,0.05529320663893312,55.093922740266166,-0.21443374727736417
BTC_Monthly,3,timegpt,foundation,34,177713295.88751704,11199.166291516744,10002.512013174019,15.146490925362384,50.0,0.6207518671118772,2.4263390022165634,0.1328743324659757,65.07681313305214,-0.1193689511402822
BTC_Monthly,3,moirai,foundation,34,433661516.1984336,15805.278983563732,13903.230775122549,21.23669446880026,47.05882352941177,-0.4242194390945808,0.06874137064989876,-0.090769148175545,82.39980265445375,-0.238489969346784
